code	meaning
E-15801	ENTEROBACTER, NOS
E-15804	ENTEROBACTER, SAKAZAKII
E-15810	ENTEROBACTER CLOACAE
E-15815	ENTEROBACTER SAKAZAKII
E-15820	ENTEROBACTER AEROGENES
E-15850	ENTEROBACTER AGGLOMERANS
E-15860	KLEBSIELLA, NOS
E-15861	KLEBSIELLA OXYTOCA
E-15870	KLEBSIELLA PNEUMONIAE
E-1591X	KLUYVERA, NOS
E-15920	PROTEUS, NOS
E-15930	PROTEUS VULGARIS
E-15940	PROTEUS MIRABILIS
E-15950	MORGANELLA MORGANII
E-15960	PROVIDENCIA RETTGERI (PROTEUS)
E-15970	PROVIDENCIA, NOS
E-15980	PROVIDENCIA ALCALIFACIENS
E-15990	PROVIDENCIA STUARTII
E-16000	SALMONELLA, NOS
E-16050	SALMONELLA PARATYPHI B
E-16070	SALMONELLA TYPHIMURIUM
E-16100	SELF MUTILATION
E-16120	SALMONELLA ARIZONAE
E-16500	SHIGELLA, NOS
E-16510	SHIGELLA DYSENTERIAE
E-16520	SHIGELLA FLEXNERI, NOS
E-16521	SHIGELLA FLEXNERI, TYPE 1
E-16522	SHIGELLA FLEXNERI, TYPE 2
E-16523	SHIGELLA FLEXNERI, TYPE 3
E-16524	SHIGELLA FLEXNERI, TYPE 4
E-16525	SHIGELLA FLEXNERI, TYPE 5
E-16526	SHIGELLA FLEXNERI, TYPE 6
E-16530	SHIGELLA BOYDII
E-16540	SHIGELLA SONNEI
E-16800	SERRATIA, NOS
E-16820	SERRATIA LIQUIFACIENS
E-16840	YERSINIA, NOS
E-16860	YERSINIA PSEUDOTUBERCULOSIS
E-16870	YERSINIA ENTEROCOLITICA
E-16875	YERSINIA KRISTENSENII
E-16900	ERYSIPELOTHRIX, NOS
E-17400	FLAVOBACTERIUM, NOS
E-17430	Eikenella corrodens
E-17710	FRANCISELLA TULARENSIS
E-17800	FUSOBACTERIUM, NOS
E-17810	FUSIFORMIS FUSIFORMIS
E-18300	HEMOPHILUS, NOS
E-18320	HEMOPHILUS SUIS
E-18390	HEMOPHILUS GALLINARUM
E-18480	HEMOPHILUS PISCIUM
E-18700	Probiotic, paste
E-18770	Probiotic, capsule
E-18840	LACTOBACILLUS FERMENTUM
E-19100	LEPTOSPIRA, NOS
E-19400	LISTERIA, NOS
E-19410	LISTERIA MONOCYTOGENES
E-19600	MICROCOCCUS, NOS
E-19800	MORAXELLA, NOS
E-20000	MYCOBACTERIUM, NOS
E-20010	MYCOBACTERIUM TUBERCULOSIS
E-20030	MYCOBACTERIUM BOVIS
E-20140	MYCOBACTERIUM SCOTOCHROMOGEN
E-20160	Mycobacterium intracellulare
E-20170	MYCOBACTERIUM AVIUM
E-20300	MYCOBACTERIUM PARATUBERCULOSIS
E-21000	MYCOPLASMA, NOS
E-21050	MYCOPLASMA GALLISEPTICUM
E-21080	MYCOPLASMA SYNOVIAE
E-21100	MYCOPLASMA PULMONIS
E-21220	MYCOPLASMA MELEAGRIDIS
E-21600	NEISSERIA, NOS
E-22000	NOCARDIA, NOS
E-22010	NOCARDIA ASTEROIDES
E-22300	PASTEURELLA, NOS
E-22310	PASTEURELLA MULTOCIDA
E-22330	PASTEURELLA HAEMOLYTICA
E-22400	PEPTOCOCCUS, NOS
E-22540	PEPTOSTREPTOCOCCUS MICROS
E-22560	PEPTOSTREPTOCOCCUS MAGNUS
E-22562	PEPTOSTREPTOCOCCUS PREVOTII
E-22564	PEPTOSTREPTOCOCCUS ASACCHAROLYTICUS
E-22900	DIPHTHEROIDS, NOS (PROPIONI BACTERIUM)
E-23000	PSEUDOMONAS, NOS
E-23005	CHRYSEOMONAS SP.
E-23010	PSEUDOMONAS AERUGINOSA
E-23030	PSEUDOMONAS FLUORESCENS, NOS
E-23120	PSEUDOMONAS PSEUDOMALLEI
E-23150	Burkholderia Cepacia
E-23270	PSEUDOMONAS MALTOPHILIA
E-23275	XANTHOMONAS MALTOPHILIA
E-24200	SPIROCHAETA, NOS
E-24400	STAPHYLOCOCCUS, NOS
E-24410	STAPHYLOCOCCUS AUREUS
E-24420	STAPHYLOCOCCUS EPIDERMIDIS
E-24700	STREPTOBACILLUS, NOS
E-25---	STREPTOCOCCUS CANIS
E-25000	STREPTOCOCCUS, NOS
E-25040	STREPTOCOCCUS GROUP A, NOS
E-25050	STREPTOCOCCUS PYOGENES
E-25070	STREPTOCOCCUS SANGUIS
E-25100	STREPTOCOCCUS GROUP B, NOS
E-25110	STREPTOCOCCUS AGALACTIAE
E-25150	STREPTOCOCCUS GROUP C, NOS
E-25160	STREPTOCOCCUS ZOOEPIDEMICUS
E-25170	STREPTOCOCCUS DYSGALACTIAE
E-25180	STREPTOCOCCUS EQUI
E-25190	STREPTOCOCCUS EQUISIMILIS
E-25240	STREPTOCOCCUS GROUP D, NOS
E-25250	STREPTOCOCCUS BOVIS
E-25280	STREPTOCOCCUS FECALIS
E-25410	STREPTOCOCCUS MITIS
E-25420	STREPTOCOCCUS PNEUMONIAE
E-25430	STREPTOCOCCUS ANGINOSUS
E-25460	STREPTOCOCCUS UBERIS
E-25470	STREPTOCOCCUS, ALPHA HEMOLYTIC, NOS
E-25480	STREPTOCOCCUS, BETA HEMOLYTIC, NOS
E-25490	STREPTOCOCCUS, GAMMA HEMOLYTIC, NOS
E-25491	STREPTOCOCCUS, NON HEMOLYTIC
E-26000	TREPONEMA, NOS
E-26500	VIBRIO, NOS
E-27100	RICKETTSIA, NOS
E-27400	COXIELLA, NOS
E-280--	CHLAMYDIA FELIS
E-28000	CHLAMYDIA, NOS
E-28020	CHLAMYDIA PSITTACI
E-30000	VIRUS, NOS
E-30100	Adenovirus, NOS
E-30630	Chikungunya Virus
E-30910	Yellow Fever Virus
E-32100	HERPESVIRUS, NOS
E-32120	HERPES SIMPLEX VIRUS 1
E-32140	Macacine herpesvirus 1 (Cercopithecine herpesvirus 1, Herpesvirus simiae, B-virus)
E-32215	SIMIAN EVB-LIKE LYMPHOCRYPTOVIRUS
E-32218	SIMIAN RHADINOVIRUS (RHESUS)
E-32220	CYTOMEGALOVIRUS, NOS
E-32221	CYTOMEGALOVIRUS-RHESUS
E-32280	INFECTIOUS BOVINE RHINOTRACHEITIS VIRUS
E-32290	EQUINE RHINOPNEUMONITIS VIRUS
E-32550	SIMIAN GAMMA-2 HERPESVIRUS
E-32720	ROUS SARCOMA VIRUS
E-33210	Influenza Virus
E-33250	INFLUENZA VIRUS TYPE A, AVIAN
E-33600	PARAMYXOVIRUS, NOS
E-33610	SENDAI VIRUS
E-33630	PARAINFLUENZA VIRUS 3
E-33660	NEWCASTLE DISEASE VIRUS
E-33700	RESPIRATORY SYNCYTIAL VIRUS GROUP, NOS
E-33710	MEASLES VIRUS
E-35730	SV-40 (SIMIAN PAPOVAVIRUS 40)
E-35900	POX VIRUS, NOS
E-36040	CANARYPOX VIRUS
E-36220	POX VIRUS - 1211
E-36660	BLUE TONGUE VIRUS
E-37490	BOVINE VIRUS
E-40000	FUNGUS, NOS
E-40100	PHYCOMYCETE, NOS
E-40260	RHIZOPUS, NOS
E-40410	YEAST, NOS
E-40600	FUNGI IMPERFECTUS, NOS
E-40610	ASPERGILLUS, NOS
E-40740	BLASTOMYCES, NOS
E-40800	CANDIDA, NOS
E-40810	CANDIDA ALBICANS
E-41150	COCCIDIOIDES, NOS
E-41200	CRYPTOCOCCUS, NOS
E-41450	HISTOPLASMA, NOS
E-41650	MICROSPORUM, NOS
E-42000	PENICILLIUM, NOS
E-42250	Malassezia, NOS
E-42260	Malassezia furfur
E-42400	RHINOSPORIDIUM, NOS
E-42500	SPOROTRICHUM, NOS
E-42600	TRICHOPHYTON, NOS
E-43000	PARASITE, NOS
E-43010	PROTOZOA, NOS
E-43050	Hepatocystis NOS
E-43310	Pneumocystis carinii
E-43320	SARCOCYSTIS
E-43360	TOXOPLASMA GONDII
E-43375	Enterocytozoon bieneusi
E-43380	EIMERIA
E-43381	EIMERIA STIEDAI
E-44000	Flagellate, NOS
E-44120	CHILOMASTIX MESNILI
E-44150	GIARDIA, NOS
E-44170	Spironucleus, NOS
E-44200	LEISHMANIA, NOS
E-44320	TRICHOMONAS, NOS
E-44360	TRYPANOSOMA, NOS
E-44370	SPUMARETROVIRUS (FOAMY), NOS
E-44390	TRYPANOSOMA CRUZI
E-44500	SARCODINA, NOS
E-44530	DIENTAMOEBA FRAGILIS
E-44550	ENTAMOEBA, NOS
E-44560	ENTAMOEBA HISTOLYTICA
E-44570	ENTAMOEBA COLI, NOS
E-44590	ENTAMOEBA POLECKI
E-44610	ENDOLIMAX NANA
E-44670	IODAMOEBA BUTSCHLII
E-44720	ISOSPORA, NOS
E-44750	PLASMODIUM, NOS
E-44810	BALANTIDIUM, NOS
E-44820	BALANTIDIUM COLI
E-45000	HELMINTH, NOS
E-45050	FILARIOIDEA, NOS
E-45100	NEMATODE, NOS
E-45140	ANCYLOSTOMA, NOS
E-45220	ASCARIS, NOS
E-45280	BUNOSTONUM, NOS
E-45300	CAPILLARIA, NOS
E-45310	CAPILLARIA HEPATICA
E-45340	DIPETALONEMA, NOS
E-45370	DIROFILARIA, NOS
E-45440	ENTEROBIUS, NOS
E-45441	PASSALURUS AMBIGUUS
E-45450	ENTEROBIUS VERMICULARIS
E-45490	GONGYLONEMA, NOS
E-45510	HAEMONCHUS, NOS
E-45610	METASTRONGYLUS, NOS
E-45630	NECATOR, NOS
E-45650	OESOPHAGOSTOMUM, NOS
E-45680	ONCHOCERCA, NOS
E-45700	OSTERTAGIA, NOS
E-45730	PHYSALOPTERA, NOS
E-45750	RHABDITIS, NOS
E-45770	STRONGYLOIDES, NOS
E-45780	STRONGYLOIDES STERCORALIS
E-45810	SYPHACIA, NOS
E-45850	THELAZIA, NOS
E-45880	TOXOCARA, NOS
E-45940	TRICHINELLA, NOS
E-45960	TRICHURIS, NOS
E-45970	TRICHOCEPHALUS TRICHURA
E-45980	TRICHOSTRONGYLUS, NOS
E-46000	IMMUNE DEFICIENCY DISORDER, DISEASE OR SYNDROME, NOS
E-46060	UNCINARIA, NOS
E-46500	TREMATODE, NOS
E-46530	DICROCOELIUM, NOS
E-46570	ECHINOSTOMA, NOS
E-46650	FASCIOLA, NOS
E-46840	PARAGONIMUS WESTERMANI
E-46860	SCHISTOSOMA, NOS
E-47040	ALARIA AMERICANA
E-47100	CESTODE, NOS
E-47120	BERTIELLA STUDERII
E-47160	DIPHYLLOBOTHRIUM, NOS
E-47220	DIPYLIDIUM, NOS
E-47260	ECHINOCOCCUS, NOS
E-47270	ECHINOCOCCUS GRANULOSUS
E-47280	ALVEOLAR HYDATID
E-47300	HYMENOLEPIS, NOS
E-47310	HYMENOLEPIS DIMINUTA
E-47370	MESOCESTOIDES, NOS
E-47400	MONIEZIA, NOS
E-47500	SPARGANUM
E-47510	SPIROMETRA, NOS
E-47550	TAENIA, NOS
E-47560	TAENIA SOLIUM
E-47700	ACANTHOCEPHALA, NOS
E-47750	PROSTHENORCHIS
E-48100	PENTOSTOMA, NOS
E-48160	BEETLE, NOS
E-48300	FLEA, NOS
E-48400	FLY LARVAE
E-48405	Fly  (dipteran) eggs
E-48420	HOUSE FLY (MUSCA DOMESTICA)
E-48450	STABLE FLY (STOMOXYS CALCITRANS)
E-48480	HORSE FLY
E-48700	MITE, NOS
E-48730	DEMODEX, NOS
E-48740	DEMODEX FOLLICULORUM
E-48860	SARCOPTES. NOS
E-48X50	DERMACENTOR, NOS
E-48Y20	IXODES, NOS
E-48Y30	RHIPICEPHALUS, NOS
E-48Y40	ORNITHODOROS
E-49500	PRIMATE, NOS
E-49560	MACAQUE
E-49570	HOMO SAPIENS - MAN
E-49580	MONKEY
E-50000	CHEMICAL, NOS
E-50100	INORGANIC CHEMICAL, NOS
E-50120	TRITIUM  (H-3)
E-50130	CARBON DIOXIDE GAS
E-50150	WATER
E-50500	CARBON, TATTOO
E-50520	CARBON - 14 (C-14)
E-50530	CARBON MONOXIDE (CO)
E-50550	CYANIDE AND CYANIDE COMPOUND, NOS
E-50770	NITRITE SALT
E-50780	NITRATE SALT
E-51010	FLUORINE AND FLUORINE COMPOUND, NOS
E-510X5	IODINE - 125  (I-125)
E-51100	ARSENIC AND ARSENIC COMPOUND, NOS
E-51140	ARSENITE COMPOUND
E-51310	SELENIUM SALT
E-51470	BARIUM AND BARIUM COMPOUND, NOS
E-51530	COPPER AND COPPER COMPOUND, NOS
E-51640	CHROMIUM - 51  (CR-51)
E-51670	IRON AND IRON COMPOUND, NOS
E-51750	LEAD AND LEAD COMPOUND, NOS
E-51830	MERCURY AND MERCURY COMPOUND, NOS
E-52060	THALLIUM AND THALLIUM COMPOUND, NOS
E-52160	ZINC PHOSPHATE (PHOSPHIDE)
E-52210	CALCIUM AND CALCIUM COMPOUND, NOS
E-52710	STRONTIUM - 85  (SR-85)
E-53030	GLUE
E-53040	CYANOACRYLATE
E-54020	PLASTIC OBJECT
E-54030	PETROLEUM
E-54100	HYDROCARBON, NOS
E-54110	FUEL OIL
E-54530	ANTHRACENE - ANTHRYLAMINE
E-54570	NAPHTHALENE
E-54600	HALOGENATED HYDROCARBON, NOS
E-54700	CHLORINATED HYDROCARBON, NOS
E-55060	TETRACHLORODIOXIN
E-55070	TCB (CHLORINATED DIPHENYL)
E-55090	TETRACHLORODIBENZOFURAN
E-55120	ETHANOL
E-56010	ETHYLENE GLYCOL
E-56060	PROPYLENE GLYCOL
E-56400	KETONE, NOS
E-56660	OXALATE SALT
E-56670	SODIUM OXALATE
E-58800	ORGANIC PHOSPHORUS COMPOUND, NOS
E-62620	SODIUM FLUOROACETATE
E-63110	ALDRIN
E-63140	DDT
E-63170	ENDRIN
E-63340	DIELDRIN
E-64600	HERBICIDE, NOS
E-65510	WARFARIN (COUMADIN)
E-65550	ANTU
E-66000	GAS, NOS
E-68010	PLANT, NOS
E-68020	LEAVES, FLOWERS, NOS
E-68600	PLANT POISON
E-68610	PLANT ALKALOID, NOS
E-68760	YOHIMBINE
E-68860	LATHYRUS PROTEIN
E-69060	NICOTINE
E-6937X	DE-GLYC LICORICE EXTR (DGL PLUS)
E-69400	CARCINOGENIC CHEMICAL COMPOUND, NOS
E-69570	POLYCHLORINATED BIPHENYL - PCB
E-69820	METABOLIC MARKER, NOS
E-69821	PORPHYRIN (AUSTRALIAN HPD)
E-70000	DRUG, NOS
E-70171	COCAINE, HCl
E-70310	LIDOCAINE   (XYLOCAINE) 1% topical spray
E-70315	Lidocaine 1% with epinephrine
E-70450	PROCAINE
E-70460	PROPARACAINE
E-70480	TETRACAINE HC1 (PONTOCAINE)
E-70550	HALOTHANE (FLUOTHANE)
E-70590	Ketamine injectable (100mg/ml)
E-70610	METHOXYFLURANE
E-70620	NITROUS OXIDE
E-70630	THIAMYLAL SODIUM   (SURITAL)
E-70640	THIOPENTAL (Sodium Pentathol)
E-70720	ISOFLURANE (ISOFLO)
E-70930	OXYGEN GAS
E-71000	LOCAL ANTI-INFECTIVE
E-71160	HYDROGEN PEROXIDE
E-71190	Silver Sulfadiazine Cream, 1%.
E-71370	POTASSIUM PERMANGANATE
E-713X0	NALIDIXIC ACID   (NEG-GRAM)
E-71410	BETADINE
E-71412	BETADINE OINTMENT
E-71440	SODIUM PERBORATE (VINCE)
E-71540	CRESOL
E-71620	FURAZOLIDONE   (FUROXONE)
E-71660	NITROFURANTOIN   (FURADANTIN)
E-71670	NITROFURAZONE   (FURACIN)
E-71700	SULFONAMIDE, NOS
E-71760	SULFADIMETHOXINE   (BACTROVET)
E-71870	SULFAMETHOXAZOLE
E-71875	Trimethoprim/sulfa (480mg)
E-71880	PHENAZOPYRIDINE
E-71900	Sulfasalazine (500mg)
E-71950	SULFISOXAZOLE   (GANTRISIN)
E-71960	SULFAMETH/TRIMETH
E-71970	SALICOAZOSULFAPYRIDINE   (AZULFIDINE)
E-71991	TRIMETHOPRIM & SULFADIAZINE (TRIBRISSEN, DITRIM)
E-719Y0	FLUOROQUINOLONE, NOS
E-719Y1	ENROFLOXACIN (68mg)
E-719Y2	OFLOXACIN (FLOXIN)
E-719Y3	CIPROFLOXACIN (200mg)
E-719Y4	LEVOFLOXACIN
E-719Y5	Enrofloxacin (Baytril) 100mg/ml
E-72000	ANTIBIOTIC, NOS
E-72040	CHLORAMPHENICOL injectable (250mg/ml)
E-72045	Florfenciol injectable (300mg/ml)
E-7204X	CHLORAMPHENICOL, OPHTHALMIC OINTMENT
E-72080	LINCOMYCIN
E-72090	CLINDAMYCIN (ANTIROBE)
E-72120	KANAMYCIN   (KANTREX)
E-72160	CEPHALOSPORIN, NOS
E-72162	CEFADROXIL
E-72163	CEFONICID
E-72170	CEPHALEXIN  (250mg)
E-72190	CEPHALOTHIN   (KEFLIN)
E-72191	CEFTRIAXONE (ROCEPHIN)
E-721X0	CEFAZOLIN injectable (250mg/ml)
E-72220	POLYMYXIN B   (POLYSPORIN)
E-72330	VANCOMYCIN
E-72350	PAROMYCIN
E-72351	Paramomycin (250mg)
E-72360	Gentamycin injectable (100mg/ml)
E-72365	GENTOCIN/BETA METHASONE TOPICAL
E-72400	ERYTHROMYCIN   (250mg)
E-7245X	CLARITHROMYCIN (BIAXIN)
E-72500	Tetracycline (250mg)
E-72502	Tetracycline (500mg)
E-72520	OXYTETRACYCLINE (LIQUAMYCIN)
E-72550	HYCLATE
E-72600	Penicillin G Procaine injectable (300,000 IU/ml)
E-72601	PENICILLIN G, POTASSIUM
E-72602	PENICILLIN G, SODIUM
E-72603	PENICILLIN G, PROCAINE
E-72660	BENZYL PENICILLIN (PEN G)
E-72670	NAFCILLIN   (UNIPEN)
E-72681	AMOXICILLIN (250mg)
E-72682	AMOXICILLIN / CLAVULANIC ACID (250mg)
E-72720	AMPICILLIN (250mg/ml)
E-72880	CEFOXITIN, SODIUM
E-72900	ANTIFUNGAL DRUG, NOS
E-72970	GRISEOFULVIN   (FULVISIN)
E-73010	Nystatin liquid (100,000IU/ml)
E-73220	CLOTRIMAZOLE (MYCOLEX)
E-73240	GENTIAN VIOLET
E-73290	KETOCONAZOLE (NIZORAL)
E-73500	ANTIVIRAL DRUG
E-73560	SURAMIN (ADANINE ARABINOSIDE)
E-7359X	ACYCLOVIR (Zovirax susp)
E-73740	DIIODOHYDROXYQUIN   (DIODOQUIN)
E-73741	IODOQUINOLOL
E-73780	GLYCOBIARSOL   (MILIBUS)
E-73820	CHLOROQUINE
E-73861	QUINACRINE (ATABRINE)
E-74020	Metronidazole (250mg)
E-74025	Tinidazole (500mg)
E-7412X	BUTAMISOLE (STYQUIN)
E-74180	MEBENDAZOLE (TELMIN)
E-74200	LEVAMISOLE   (LEVASOLE)
E-74260	PYRVINIUM PAMOATE   (POVAN)
E-74270	THIABENDAZOLE (MINTEZOL)
E-74280	Pyrantel pamoate liquid (50 mg/ml)
E-74290	NICLOSAMIDE (YOMESAN)
E-74600	ADRENERGIC DRUG
E-74610	d-AMPHETIMINE
E-74650	EPINEPHRINE 1:1000
E-74680	PSEUDOEPHEDRINE HYDROCHLORIDE
E-746Y0	Terbutaline Sulfate injectable (1mg/ml)
E-746Y1	TERBUTALINE IN D5W (150 ml)
E-74710	Dopamine injectable (40mg/ml)
E-74780	ISOPROTERONOL (ISUPREL)
E-74910	Phenylephrine 1% (10mg/ml)
E-75105	SEROTONIN (5-HYDROXYTRYPTAMINE)
E-75130	PHENTOLAMINE
E-75160	ISOMETHEPTENE   (OCTIN)
E-75170	ISOXSUPRINE (VASODILAN)
E-75220	BETHANECHOL
E-75310	NEOSTIGMINE (PROSTIGMINE)
E-75470	ATROPINE Sulfate (0.4mg/ml)
E-75472	ATROPINE OINTMENT
E-75530	COGENTIN (BENZTROPINE MESYLATE)
E-75531	COGENTIN (BENZTROPINE)
E-75560	Cyclopentolate
E-75760	METHSCOPOLAMINE   (PAMINE)
E-75920	Scopolamine
E-75970	TROPICAMIDE (MYDRIACYL)
E-76010	AZATHIOPRINE (IMURAN)
E-76030	CYCLOSPORIN A
E-76570	CLONIDINE HYDROCHLORIDE
E-76590	CAPTOPRIL (CAPOTEN)
E-76710	PROCAINAMIDE (PRONESTYL)
E-76830	DIGITALIS
E-76860	DIGOXIN (0.125MG)
E-77180	NIFEDIPINE
E-77230	CAFFEINE SODIUM BENZOATE
E-77310	METHYLPHENIDATE
E-77360	STRYCHNINE
E-77370	AMMONIA
E-77420	CARBIDOPA
E-77510	ACETAMINOPHEN (80mg)
E-77631	FLUNIXIN MEGLUMINE (BANAMINE)
E-77670	PHENYLBUTAZONE
E-77710	ASPIRIN
E-77720	Ibuprofen (100mg)
E-77760	INDOMETHACIN (INDOCIN)
E-77851	Hydromorphone injectable HCL (2mg/ml)
E-778X0	NALBUPHINE (NUBAIN)
E-77900	BUTORPHANOL TARTRATE
E-77901	STADOL (BUTORPHANOL)
E-77950	MEPERIDINE   (DEMEROL)
E-77980	OXYMORPHONE HYDROCHLORIDE
E-779X0	Ketoprofen injectable (100mg/ml)
E-78010	PENTAZOCINE LACTATE (TALWIN-V)
E-78120	Phenytoin liquid (25mg/ml)
E-78630	Potassium Bromide
E-78840	PENTOBARBITOL SODIUM (NEMBUTAL)
E-78860	Phenobarbital (30mg)
E-78865	Phenobarbital (130mg/ml)
E-78880	SECOBARBITAL    (SECONAL)
E-79030	AMITRIPTYLINE (25mg)
E-79110	CHLORPROMAZINE (25mg)
E-79140	FLUPHENAZINE (PROLIXIN)
E-79190	HALOPERIDOL (HALDOL)
E-79193	DESIPRAMINE HC1
E-79195	CLOZAPINE
E-792X1	LOXITANE (LOXAPINE)
E-793X0	PHENCYCLIDINE   (SERNYLAN)
E-79450	ORAL MELLARIL
E-79491	NAVANE (THIOTHIXENE)
E-79520	DIAZEPAM injectable (5mg/ml)
E-79580	THALIDOMIDE
E-79710	AMINOPHYLLINE (25mg/ml)
E-79870	METHOCARBAMOL (ROBAXIN)
E-79930	SUCCINYLCHOLINE   (QUELICIN)
E-7A008	INTERLEUKIN 8 (HUMAN,FIBROBLAST)
E-7A010	INTERLEUKIN 10 (HUM, RECOMB, SHERING)
E-7A015	INTERLEUKIN 7
E-80010	TAR PREPARATION, NOS
E-80140	ZINC SULFATE
E-80320	SALICYLIC ACID (KERI SOLV)
E-80400	PROTECTIVE DRUGS, NOS
E-80401	Sucralfate 1g
E-80410	Bismuth Subsalicylate (262mg)
E-80491	ZINC OXIDE OINTMENT
E-80600	SESAME OIL
E-80620	MINERAL OIL
E-80625	PETROLATUM, NOS
E-80640	OIL IN WATER AGENT
E-806Y0	LOTION
E-81020	BETAZOLE HCL (HISTALOG)
E-81030	EVANS BLUE
E-81040	FLUORESCEIN (FLUORECITE)
E-81043	FLUORESCEIN, SODIUM SALT
E-81300	RADIOPAQUE MEDIUM, NOS
E-81310	BARIUM SULFATE
E-81430	IOPHENDYLATE
E-81530	MEGLUMINE DIATRIZOATE
E-81540	SODIUM DIATRIZOATE   (HYPAQUE)
E-81710	TUBERCULIN
E-81820	FREUND ANTIGEN
E-82010	FLEET ENEMA
E-82020	DEXPANTHENOL   (ILOPAN)
E-82030	Simethicone (80mg)
E-82031	DIGEL
E-82032	SIMETHICONE (MYLICON)
E-82070	CIMETIDINE (TAGAMET)
E-82080	FAMOTIDINE (10mg)
E-8208X	Omeprazole (20mg)
E-82090	METOCLOPRAMIDE HCL (REGLAN)
E-82130	ALUMINUM HYDROXIDE
E-82270	Sodium Bicarbonate (1meq/ml)
E-82340	DIPHENOXYLATE   (LOMOTIL)
E-82345	Loperamide (2mg)
E-82350	KAOLIN
E-82450	PROCHLORPERAZINE
E-82500	LAXATIVE, NOS
E-82531	AGAR (AGORAL)
E-82660	DIOCTYL SODIUM SULFOSUCCINATE   (MILKINOL)
E-82730	MAGNESIUM SULFATE
E-82870	PSYLLIUM SEED (METAMUCIL)
E-83120	APOMORPHINE
E-83265	5-Fluorouracil (5-FU)
E-83740	STREPTOZOTOCIN
E-83870	TAMOXIFEN, NOS
E-84130	DICOUMAROL (BISHYDROXYCOUMADIN)
E-84180	STREPTOKINASE-STREPTODORNASE   (VARIDASE)
E-84210	Heparin Sodium injectable (10,000 IU/ml)
E-84215	Heparin Sodium 1000 IU/ml
E-84300	BLOOD REPLENISHER, NOS
E-84320	BLOOD, WHOLE, NOS
E-84340	DEXTRAN
E-84360	ISOTONIC SODIUM CHLORIDE (SALINE)
E-84380	SUCROSE PREPARATION
E-84430	PLASMA FRACTION
E-84840	Iron Dextran injectable (100mg/ml)
E-85000	HORMONE
E-85040	Clomiphene
E-85050	HUMAN CHORIONIC GONADOTROPHIN
E-85090	BROMOCRIPTINE
E-85130	BETAMETHASONE VALERATE
E-85150	DEXAMETHASONE, NOS
E-85151	DEXAMETHASONE (AZIUM)
E-85155	DEXAMETHASONE-21-ISONICOTINATE (VOREN)
E-85182	DEXAMETHASONE SP injectable (4mg/ml)
E-85260	HYDROCORTISONE, INJECTABLE (CORTEF)(CORTISOL)
E-85262	HYDROCORTISONE TOPICAL PREPARATION, NOS
E-85265	HYDROCORTISONE NaPO4 (HYDROCORTONE)
E-85300	CORTISONE, INJECTABLE (CORTONE)
E-85305	CORTISONE PREPARATION (KENDALL\'S COMPOUND E)
E-85310	METHYLPREDNISOLONE (DEPO-MEDROL)
E-85350	Prednisolone Sodium Succinate injectable (10mg/ml)
E-85360	Prednisolone 5mg
E-85361	Prednisone 1 mg
E-85362	Prednisilone sodium succinate  50 mg/mL
E-85365	PREDNISONE ACETATE 1%
E-85405	DANAZOL (DANOCRINE CAPSULES)
E-85460	STANOZOLOL   (WINSTROL)
E-85470	TESTOSTERONE, INJECTABLE
E-85480	DIHYDROTESTOSTERONE (DHT)
E-85481	DYHYDROTESTOSTERONE PROPRIONATE
E-85485	5 L-REDUCTASE INHIBITOR (L751-788, MERCK)
E-85490	ANDROSTENEDIONE
E-85500	ESTROGEN, NOS
E-85540	STILBESTEROL
E-85550	ESTRADIOL (E 2)
E-85560	ESTRONE, INJECTABLE
E-85760	Medroxyprogesterone injectable (150mg/ml)
E-85780	PROGESTERONE
E-8578X	PROGESTIN PREPARATION, NOS
E-85810	GLUCAGON, INJECTABLE
E-85820	INSULIN, INJECTABLE, AM
E-85821	INSULIN, INJECTABLE, PM
E-85822	INSULIN, INJECTABLE
E-85824	INSULIN, INJECTABLE, NPH
E-85825	INSULIN, INJECTABLE, LENTE
E-85930	TOLBUTAMIDE (ORINASE)
E-86020	ADRENOCORTICOTROPIC HORMONE (ACTH)
E-86031	LUTEINIZING HORMONE (HUMAN)
E-86032	hLH HUMAN LUTEINIZING HORMONE
E-86040	Oxytocin injectable (20 IU/ml)
E-86042	Oxytocin injectable (10 IU/ml)
E-86045	OXYTOCIN ANTAGONIST (L366682, MERCK)
E-86046	OXYTOCIN ANTAGONIST (ORF22164, MERCK)
E-86047	OXYTOCIN ANTAGONIST (L366706, MERCK)
E-86048	OXYTOCIN ANTAGONIST (L366948, MERCK)
E-86049	OXYTOCIN ANTAGONIST (ORF22164, ORTHO)
E-86050	OXYTOCIN ANTAGONIST (L366509, MERCK)
E-86051	OXYTOCIN ANTAGONIST (L367773, MERCK)
E-86052	OXYTOCIN ANTAGONIST (L367938, MERCK)
E-86053	OXYTOCIN ANTAGONIST (L368228, MERCK)
E-86054	OXYTOCIN ANTAGONIST (L368930, MERCK)
E-86055	OXYTOCIN ANTAGONIST (L369020, MERCK)
E-86056	OXYTOCIN ANTAGONIST (L368899, MERCK)
E-86057	OXYTOCIN ANTAGONIST (L367773, MERCK)
E-86058	OXYTOCIN ANTAGONIST (L371392, MERCK)
E-86059	OXYTOCIN ANTAGONIST (L371968, MERCK)
E-86060	OXYTOCIN ANTAGONIST (L372231, MERCK)
E-86061	OXYTOCIN ANTAGONIST (L372237, MERCK)
E-86062	OXYTOCIN ANTAGONIST (L372662, MERCK)
